"nazev","adresa"
"Základní škola, Vlašim, Březinská 1702","Březinská 1702 , Vlašim 258 01"
"Základní škola, Votice, Smetanova 153","Smetanova 153 , Votice 259 01"
"Střední škola a Základní škola Beroun, příspěvková organizace","Karla Čapka 1457 , Beroun 266 01"
"Základní škola Hořovice, příspěvková organizace","Svatopluka Čecha 455 , Hořovice 268 01"
"Základní škola, Žebrák, Hradní 67","Hradní 67 , Žebrák 267 53"
"Základní škola a Praktická škola Slaný, příspěvková organizace","Palackého 570 , Slaný 274 01"
"Soukromá mateřská škola, základní škola a střední škola Slunce, o.p.s.","Hornická 410 , Stochov 273 03"
"Dětský domov, Základní škola a Mateřská škola Ledce, příspěvková organizace","55 , Ledce 273 05"
"Základní škola a Praktická škola, Český Brod, Žitomířská 1359","Žitomířská 1359 , Český Brod 282 01"
"Základní škola a Praktická škola, Kostelec nad Černými lesy, K Jatkám 748","K Jatkám 748 , Kostelec nad Černými lesy 281 63"
"Základní škola Kouřim, příspěvková organizace","Okružní 435 , Kouřim 281 61"
"Základní škola, Mateřská škola a Praktická škola Kolín, příspěvková organizace","Kutnohorská 179 , Kolín 280 02"
"Základní škola Čáslav, příspěvková organizace","Husova 526 , Čáslav 286 01"
"Základní škola a Praktická škola Kutná Hora, příspěvková organizace","Na Náměti 417 , Kutná Hora 284 01"
"Mateřská škola speciální, Základní škola a Praktická škola Diakonie ČCE Čáslav","Komenského náměstí 140 , Čáslav 286 01"
"Základní škola, Zruč nad Sázavou, Okružní 643","Okružní 643 , Zruč nad Sázavou 285 22"
"Základní škola Benátky nad Jizerou, příspěvková organizace","náměstí 17. listopadu 493 , Benátky nad Jizerou 294 71"
"Základní škola, Mnichovo Hradiště, Švermova 380","Jana Švermy 380 , Mnichovo Hradiště 295 01"
"Základní škola Mladá Boleslav, příspěvková organizace","Václavkova 950 , Mladá Boleslav 293 01"
"Speciální základní škola Poděbrady, příspěvková organizace","U Bažantnice 154 , Poděbrady 290 01"
"Základní škola při Léčebně dr. L. Filipa Poděbrady, příspěvková organizace","nám. T.G.Masaryka 482 , Poděbrady 290 01"
"Praktická škola a Základní škola Lysá nad Labem, příspěvková organizace","Komenského 1534 , Lysá nad Labem 289 22"
"Základní škola, Městec Králové, Nám. Republiky 303","Náměstí Republiky 303 , Městec Králové 289 03"
"Základní škola a Mateřská škola při o. p. s. Olivově dětské léčebně, Říčany, Olivova 224","Olivova 224 , Říčany 251 01"
"Základní škola, Brandýs nad Labem - Stará Boleslav, příspěvková organizace","Školní 291 , Brandýs nad Labem-Stará Boleslav 250 01"
"Základní škola, Olešovice, Ringhofferova 436","Ringhofferova 436 , Kamenice 251 68"
"Základní škola Psáry, příspěvková organizace","Jílovská 141 , Psáry 252 44"
"Základní škola, Sedlčany, Konečná 1090","Konečná 1090 , Sedlčany 264 01"
"Střední škola, Základní škola a Mateřská škola Rakovník, příspěvková organizace","Frant. Diepolta 1576 , Rakovník 269 01"
"Mateřská škola, Základní škola a Praktická škola, Trhové Sviny, Nové Město 228","Nové město 228 , Trhové Sviny 374 01"
"Mateřská škola, základní škola a střední škola pro sluchově postižené, České Budějovice, Riegrova 1","Riegrova 1812 , České Budějovice 370 01"
"Mateřská škola, Základní škola a Praktická škola, České Budějovice, Štítného 3","Štítného 57 , České Budějovice 370 01"
"Základní škola logopedická, Týn nad Vltavou, Sakařova 342","Sakařova 342 , Týn nad Vltavou 375 01"
"Mateřská škola, Základní škola a Praktická škola při centru ARPIDA, o.p.s.","U Hvízdala 1402 , České Budějovice 370 11"
"Základní škola, Český Krumlov, Kaplická 151","Kaplická 151 , Český Krumlov 381 01"
"Základní škola, Kaplice, Omlenická 436","Omlenická 436 , Kaplice 382 41"
"Mateřská škola, Základní škola a Praktická škola, Jindřichův Hradec, Jarošovská 1125/II","Jarošovská 1125 , Jindřichův Hradec 377 01"
"Základní škola, Dačice, Neulingerova 108","Neulingerova 108 , Dačice 380 01"
"Základní škola praktická, Třeboň, Jiráskova 3","Jiráskova 3 , Třeboň 379 01"
"Základní škola Pelhřimov, Komenského 1326","Komenského 1326 , Pelhřimov 393 01"
"Dětský domov, Mateřská škola, Základní škola a Praktická škola, Písek, Šobrova 111","Šobrova 111 , Písek 397 01"
"Základní škola, Blatná, Holečkova 1060","Holečkova 1060 , Blatná 388 01"
"Základní škola, Vodňany, nám. 5. května 104","nám. 5. května 104 , Vodňany 389 01"
"Základní škola při Dětské psychiatrické nemocnici, Opařany 160","160 , Opařany 391 61"
"Mateřská škola, základní škola speciální a praktická škola Diakonie ČCE Rolnička Soběslav","Mrázkova 700 , Soběslav 392 01"
"Mateřská škola a Základní škola, Tábor, třída Čs. armády 925","Čsl. armády 925 , Tábor 390 03"
"Základní škola a Odborná škola, Horšovský Týn, Nádražní 89","Nádražní 89 , Horšovský Týn 346 01"
"Základní škola a mateřská škola při zdravotnických zařízeních Karlovy Vary, příspěvková organizace","Bezručova 1185 , Karlovy Vary 360 01"
"Základní škola Ostrov, příspěvková organizace","Krušnohorská 304 , Ostrov 363 01"
"Základní škola a střední škola Karlovy Vary, příspěvková organizace","Vančurova 83 , Karlovy Vary 360 17"
"Základní škola, Klatovy, Hálkova 133","Hálkova 133 , Klatovy 339 01"
"Dětský domov se školou, základní škola a školní jídelna, Měcholupy 2","2 , Předslav 339 01"
"Základní škola, Plzeň, Podmostní 1","Podmostní 2398 , Plzeň 301 00"
"Základní škola, Plzeň, Heyrovského 23","Heyrovského 529 , Plzeň 301 00"
"Základní škola a Mateřská škola pro zrakově postižené a vady řeči, Plzeň, Lazaretní 25","Lazaretní 1290 , Plzeň 312 00"
"Základní škola a Mateřská škola pro sluchově postižené, Plzeň, Mohylová 90","Mohylová 1200 , Plzeň 312 00"
"Základní škola speciální a Praktická škola Diakonie ČCE Merklín","Husova 346 , Merklín 334 52"
"Odborná škola, Základní škola a Mateřská škola, Plzeň, Macháčkova 45","Macháčkova 905 , Plzeň 318 00"
"Základní škola, Rokycany, Čechova 40","Čechova 40 , Rokycany 337 01"
