"nazev","adresa"
"Základní škola a mateřská škola Mostkovice, okres Prostějov","243 , Mostkovice 798 02"
"Základní škola a mateřská škola Čechy pod Kosířem, příspěvková organizace","Komenského 5 , Čechy pod Kosířem 798 58"
"Základní škola Kralice na Hané, okres Prostějov, příspěvková organizace","Zákostelí 59 , Kralice na Hané 798 12"
"Základní škola a Mateřská škola Vrchoslavice, okres Prostějov, příspěvková organizace","1 , Vrchoslavice 798 27"
"Základní škola a Mateřská škola Čelechovice na Hané","U Sokolovny 275 , Čelechovice na Hané 798 16"
"Základní škola a mateřská škola Prostějov, Palackého tř. 14","Palackého 152 , Prostějov 796 01"
"Základní škola a mateřská škola Jana Železného Prostějov","sídl. Svobody 3578 , Prostějov 796 01"
"Základní škola Prostějov, ul. E. Valenty 52","Edvarda Valenty 3970 , Prostějov 796 03"
"Základní škola Prostějov, ul. Dr. Horáka 24","Dr. Horáka 2611 , Prostějov 796 01"
"Základní škola a mateřská škola Prostějov, Kollárova ul. 4","Kollárova 2596 , Prostějov 796 01"
"Základní škola a mateřská škola Bedihošť","Komenského 86 , Bedihošť 798 21"
"Základní škola a Mateřská škola Bohuslavice, okres Prostějov, příspěvková organizace","19 , Bohuslavice 798 56"
"Základní škola a mateřská škola T. G. Masaryka Brodek u Konice, příspěvková organizace","265 , Brodek u Konice 798 46"
"Základní škola Brodek u Prostějova, příspěvková organizace","Císařská 65 , Brodek u Prostějova 798 07"
"Jubilejní Masarykova základní škola a mateřská škola Drahany","133 , Drahany 798 61"
"Masarykova jubilejní základní škola a Mateřská škola Horní Štěpánov, okres Prostějov, příspěvková organizace","300 , Horní Štěpánov 798 47"
"Základní škola Klenovice na Hané, okres Prostějov, příspěvková organizace","231 , Klenovice na Hané 798 23"
"Základní škola a mateřská škola Kostelec na Hané, okres Prostějov, příspěvková organizace","Sportovní 850 , Kostelec na Hané 798 41"
"Základní škola Němčice nad Hanou, příspěvková organizace","Tyršova 360 , Němčice nad Hanou 798 27"
"Základní škola a Mateřská škola Olšany u Prostějova","3 , Olšany u Prostějova 798 14"
"Základní škola nadporučíka letectva Josefa Františka a Mateřská škola Otaslavice","117 , Otaslavice 798 06"
"Základní škola Plumlov, okres Prostějov, příspěvková organizace","Rudé armády 300 , Plumlov 798 03"
"Základní škola Protivanov, příspěvková organizace","Školní 292 , Protivanov 798 48"
"Základní škola a mateřská škola Ptení","157 , Ptení 798 43"
"Základní škola a Mateřská škola Určice, příspěvková organizace","400 , Určice 798 04"
"Základní škola Zdeny Kaprálové a Mateřská škola Vrbátky, příspěvková organizace","83 , Vrbátky 798 13"
"Základní škola a mateřská škola Prostějov, Melantrichova ul. 60","Melantrichova 4082 , Prostějov 796 01"
"Základní škola Pivín, okres Prostějov, příspěvková organizace","170 , Pivín 798 24"
"Masarykova základní škola a mateřská škola Nezamyslice","1. máje 234 , Nezamyslice 798 26"
"Základní škola Hrotovice","F. B. Zvěřiny 221 , Hrotovice 675 55"
"Základní škola a Mateřská škola T. G. Masaryka Rouchovany","131 , Rouchovany 675 57"
"Základní škola Moravské Budějovice, Havlíčkova ul. 933, okres Třebíč","Havlíčkova 933 , Moravské Budějovice 676 02"
"Základní škola T. G. Masaryka Moravské Budějovice, náměstí Svobody 903, okres Třebíč","nám. Svobody 903 , Moravské Budějovice 676 02"
"Základní škola v Jemnici, příspěvková organizace","náměstí Svobody 88 , Jemnice 675 31"
"Základní škola a Mateřská škola Dalešice, okres Třebíč, příspěvková organizace","144 , Dalešice 675 54"
"Základní škola a Mateřská škola Třebelovice, okres Třebíč, příspěvková organizace","54 , Třebelovice 675 32"
"Základní škola a mateřská škola Trnava, okres Třebíč, příspěvková organizace","75 , Trnava 674 01"
"Základní škola a Mateřská škola Šebkovice, příspěvková organizace","159 , Šebkovice 675 45"
"Základní škola a mateřská škola, Studenec, okres Třebíč","123 , Studenec 675 02"
"Základní škola a Mateřská škola Rokytnice nad Rokytnou, příspěvková organizace","15 , Rokytnice nad Rokytnou 675 25"
"Základní škola Rapotice, příspěvková organizace","Školní 69 , Rapotice 675 73"
"Základní škola a mateřská škola Pyšel, okres Třebíč, příspěvková organizace","1 , Pyšel 675 71"
"Základní škola a mateřská škola Opatov, okres Třebíč, příspěvková organizace","68 , Opatov 675 28"
"Základní škola a Mateřská škola Mladoňovice, okres Třebíč, příspěvková organizace","67 , Mladoňovice 675 32"
"Základní škola a mateřská škola Lukov, příspěvková organizace","32 , Lukov 676 02"
"Základní škola a Mateřská škola Litohoř, příspěvková organizace, okres Třebíč","98 , Litohoř 675 44"
"Základní škola a mateřská škola Lesonice, okres Třebíč, příspěvková organizace","1 , Lesonice 675 44"
"Základní škola a Mateřská škola Jana Blahoslava Kralice nad Oslavou, příspěvková organizace, okres Třebíč","Martinská 52 , Kralice nad Oslavou 675 73"
"Základní škola a Mateřská škola Kouty, okres Třebíč, příspěvková organizace","82 , Kouty 675 08"
"Základní škola a Mateřská škola Koněšín, příspěvková organizace","72 , Koněšín 675 02"
"Základní škola a Mateřská škola Kojetice, okres Třebíč, příspěvková organizace","131 , Kojetice 675 23"
"Základní škola a Mateřská škola Jakubov, příspěvková organizace","130 , Jakubov u Moravských Budějovic 675 44"
"Základní škola a Mateřská škola Dukovany, příspěvková organizace","64 , Dukovany 675 56"
"Základní škola a Mateřská škola Dolní Vilémovice","42 , Dolní Vilémovice 675 52"
"Základní škola a Mateřská škola Dešov","105 , Dešov 675 33"
"Základní škola a Mateřská škola Blatnice, okres Třebíč, příspěvková organizace","69 , Blatnice 675 51"
"Základní škola Benetice, okres Třebíč, příspěvková organizace","32 , Benetice 675 06"
"Základní škola a Mateřská škola Nové Syrovice, okres Třebíč, příspěvková organizace","5 , Nové Syrovice 675 41"
"Základní škola a Mateřská škola Stařeč, okres Třebíč, příspěvková organizace","Jakubské náměstí 56 , Stařeč 675 22"
"Základní škola a mateřská škola Výčapy, příspěvková organizace","7 , Výčapy 674 01"
"Základní škola T.G. Masaryka a mateřská škola Přibyslavice, příspěvková organizace","Kaštanová 142 , Přibyslavice 675 21"
"Základní škola a Mateřská škola Myslibořice","170 , Myslibořice 675 60"
"Základní škola a Mateřská škola DOMAMIL, příspěvková organizace","115 , Domamil 675 43"
"Základní škola a Mateřská škola Budkov, okres Třebíč","5 , Budkov 675 42"
"Základní škola a Mateřská škola Valeč","222 , Valeč 675 53"
"Základní škola a mateřská škola Tasov","37 , Tasov 675 79"
"Základní škola a Mateřská škola Předín","139 , Předín 675 27"
"Základní škola a mateřská škola Březník, příspěvková organizace","89 , Březník 675 74"
"Základní škola a mateřská škola Čáslavice","110 , Čáslavice 675 24"
"Základní škola Třebíč Týnská 8","Týnská 821 , Třebíč 674 01"
"Základní škola Třebíč, Benešova 585","Benešova 585 , Třebíč 674 01"
"Základní škola Třebíč, Horka-Domky, Václavské nám. 44/12","Václavské nám. 44 , Třebíč 674 01"
"Základní škola a mateřská škola Třebíč, Bartuškova 700","Bartuškova 700 , Třebíč 674 01"
"Základní škola T.G.Masaryka Třebíč, Komenského náměstí 61/6","Komenského nám. 61 , Třebíč 674 01"
"Základní škola Mohelno, okres Třebíč","232 , Mohelno 675 75"
"Základní škola a mateřská škola Vladislav","203 , Vladislav 675 01"
"Základní škola a mateřská škola Kněžice","215 , Kněžice 675 29"
"Základní škola Ludvíka Svobody a Mateřská škola Rudíkov, příspěvková organizace","167 , Rudíkov 675 05"
"Základní škola a Mateřská škola Hartvíkovice, příspěvková organizace","90 , Hartvíkovice 675 76"
"Základní škola Budišov - příspěvková organizace","221 , Budišov 675 03"
"Základní škola Třebíč, ul. Kpt. Jaroše 836","Kpt. Jaroše 836 , Třebíč 674 01"
"Základní škola a mateřská škola Heraltice, okres Třebíč, příspěvková organizace","80 , Heraltice 675 21"
"Základní škola a Mateřská škola Lipník, okres Třebíč, příspěvková organizace","42 , Lipník 675 52"
"Základní škola a mateřská škola Třebíč, Na Kopcích 342","Na Kopcích 342 , Třebíč 674 01"
"Základní škola a Mateřská škola Želetava","Pražská 164 , Želetava 675 26"
"Základní škola Vícenice u Náměště nad Oslavou, okres Třebíč","45 , Vícenice u Náměště nad Oslavou 675 71"
"Základní škola Náměšť nad Oslavou, Komenského 53","Komenského nám. 53 , Náměšť nad Oslavou 675 71"
"Základní škola Náměšť nad Oslavou, Husova 579","Husova 579 , Náměšť nad Oslavou 675 71"
"Základní škola Otokara Březiny Jaroměřice nad Rokytnou, Komenského nám. 120 okres Třebíč","Komenského 120 , Jaroměřice nad Rokytnou 675 51"
"Základní škola Okříšky, příspěvková organizace","J. A. Komenského 87 , Okříšky 675 21"
"Základní škola a Mateřská škola Traplice, okres Uherské Hradiště","375 , Traplice 687 04"
"Základní škola a Základní umělecká škola, Dolní Němčí, okres Uherské Hradiště","Školní 606 , Dolní Němčí 687 62"
"Základní škola a Základní umělecká škola Strání","Rubanice 877 , Strání 687 65"
"Základní škola, Velehrad, okres Uherské Hradiště","Salašská 300 , Velehrad 687 06"
"Základní škola a Mateřská škola, Bílovice, okres Uherské Hradiště","440 , Bílovice 687 12"
"Základní škola a Mateřská škola Buchlovice","Komenského 483 , Buchlovice 687 08"
"Základní škola a mateřská škola Osvětimany","282 , Osvětimany 687 42"
"Základní škola Josefa Bublíka, Bánov, okres Uherské Hradiště, příspěvková organizace","507 , Bánov 687 54"
"Základní škola a mateřská škola J. A. Komenského Nivnice, příspěvková organizace","Komenského 101 , Nivnice 687 51"
"Základní škola a Mateřská škola Bystřice pod Lopeníkem, příspěvková organizace","173 , Bystřice pod Lopeníkem 687 55"
"Základní škola a Mateřská škola Kněžpole, okres Uherské Hradiště, příspěvková organizace","100 , Kněžpole 687 12"
"Základní škola a Mateřská škola Kudlovice, příspěvková organizace, okres Uherské Hradiště","105 , Kudlovice 687 03"
"Základní škola Hradčovice, okres Uherské Hradiště","69 , Hradčovice 687 33"
"Základní škola a mateřská škola Huštěnovice, okres Uherské Hradiště","72 , Huštěnovice 687 03"
"Základní škola Mistřice, okres Uherské Hradiště, příspěvková organizace","1 , Mistřice 687 12"
"Základní škola Nedakonice, okres Uherské Hradiště, příspěvková organizace","142 , Nedakonice 687 38"
"Základní škola a Mateřská škola, Podolí, příspěvková organizace","53 , Podolí 686 04"
"Základní škola a Mateřská škola Popovice, příspěvková organizace","150 , Popovice 686 04"
"Základní škola, Topolná, okres Uherské Hradiště, příspěvková organizace","101 , Topolná 687 11"
"Základní škola a Mateřská škola Suchá Loz, okres Uherské Hradiště, příspěvková organizace","155 , Suchá Loz 687 53"
"Základní škola T. G. Masaryka, Uherské Hradiště-Mařatice, 1. máje 55, příspěvková organizace","1. máje 55 , Uherské Hradiště 686 05"
"Základní škola a Mateřská škola Zlechov, okres Uherské Hradiště, příspěvková organizace","229 , Zlechov 687 10"
"Základní škola a Mateřská škola Jana Amose Komenského, Komňa 169, okres Uherské Hradiště","169 , Komňa 687 71"
"Základní škola Záhorovice, okres Uherské Hradiště, příspěvková organizace","164 , Záhorovice 687 71"
"Školy Březová - střední odborná škola, základní škola a mateřská škola, Březová","102 , Březová 687 67"
"Základní škola a Mateřská škola Horní Němčí, okres Uherské Hradiště, příspěvková organizace","118 , Horní Němčí 687 64"
"Základní škola a Mateřská škola Jalubí, okres Uherské Hradiště","514 , Jalubí 687 05"
"Základní škola a Mateřská škola, Korytná, okres Uherské Hradiště, příspěvková organizace","340 , Korytná 687 52"
"Základní škola a Mateřská škola Nezdenice, okres Uherské Hradiště","35 , Nezdenice 687 32"
"Základní škola a Mateřská škola Pitín, okres Uherské Hradiště, příspěvková organizace","17 , Pitín 687 71"
"Základní škola a Mateřská škola Uherský Brod-Havřice, příspěvková organizace","Brodská 117 , Uherský Brod 688 01"
"Základní škola a Mateřská škola Uherský Brod-Újezdec, příspěvková organizace","Podhájí 291 , Uherský Brod 687 34"
"Základní škola a Mateřská škola, Uherské Hradiště - Jarošov, Pivovarská 200, příspěvková organizace","Pivovarská 200 , Uherské Hradiště 686 01"
"Základní škola Babice, okres Uherské Hradiště, příspěvková organizace","377 , Babice 687 03"
"Základní škola T. G. Masaryka, Bojkovice, okres Uherské Hradiště","Štefánikova 460 , Bojkovice 687 71"
"Základní škola Františka Horenského, Boršice, příspěvková organizace","540 , Boršice 687 09"
"Základní škola a Mateřská škola Březolupy, okres Uherské Hradiště, příspěvková organizace","134 , Březolupy 687 13"
"Základní škola Hluk, okres Uherské Hradiště, příspěvková organizace","nám. Komenského 950 , Hluk 687 25"
"Základní škola a mateřská škola Ostrožská Lhota, příspěvková organizace","306 , Ostrožská Lhota 687 23"
"Základní škola Ostrožská Nová Ves, okres Uherské Hradiště, příspěvková organizace","Lhotská 500 , Ostrožská Nová Ves 687 22"
"Základní škola, Polešovice, okres Uherské Hradiště, příspěvková organizace","600 , Polešovice 687 37"
"Základní škola a Mateřská škola Prakšice, příspěvková organizace","100 , Prakšice 687 56"
"Základní škola a Mateřská škola Starý Hrozenkov, okres Uherské Hradiště","233 , Starý Hrozenkov 687 74"
"Základní škola Šumice, okres Uherské Hradiště","113 , Šumice 687 31"
"Základní škola UNESCO, Uherské Hradiště, Komenského náměstí 350, příspěvková organizace","Komenského náměstí 350 , Uherské Hradiště 686 01"
"Základní škola, Staré Město, okres Uherské Hradiště, příspěvková organizace","Komenského 1720 , Staré Město 686 03"
"Základní škola a mateřská škola, Tupesy, příspěvková organizace","112 , Tupesy 687 07"
"Základní škola, Uherské Hradiště, Sportovní 777, příspěvková organizace","Sportovní 777 , Uherské Hradiště 686 01"
"Základní škola, Uherské Hradiště, Za Alejí 1072, příspěvková organizace","Za Alejí 1072 , Uherské Hradiště 686 06"
"Základní škola, Kunovice, Červená cesta 853, okres Uherské Hradiště, příspěvková organizace","Červená cesta 853 , Kunovice 686 04"
"Základní škola, Uherský Brod, Mariánské náměstí 41, okres Uherské Hradiště","Mariánské nám. 41 , Uherský Brod 688 01"
"Základní škola, Uherský Brod, Pod Vinohrady 1420, okres Uherské Hradiště","Za Humny 1420 , Uherský Brod 688 01"
"Základní škola, Uherský Ostroh, okres Uherské Hradiště, příspěvková organizace","Školní 400 , Uherský Ostroh 687 24"
"Základní škola a Mateřská škola Vlčnov, příspěvková organizace","1202 , Vlčnov 687 61"
"Základní škola a Mateřská škola Na Výsluní, Uherský Brod, příspěvková organizace","Na Výsluní 2047 , Uherský Brod 688 01"
"Základní škola a mateřská škola Ořechov, okres Uherské Hradiště, příspěvková organizace","90 , Ořechov 687 37"
"Základní škola a Mateřská škola, Uherské Hradiště, Větrná 1063, příspěvková organizace","Větrná 1063 , Uherské Hradiště 686 05"
"Základní škola Boršice u Blatnice, okres Uherské Hradiště, příspěvková organizace","58 , Boršice u Blatnice 687 63"
"Základní škola, Kunovice, U Pálenice 1620, okres Uherské Hradiště, příspěvková organizace","U Pálenice 1620 , Kunovice 686 04"
"Základní škola a Mateřská škola Křižanovice, příspěvková organizace","31 , Křižanovice 685 01"
"Základní škola Vyškov, Nádražní 5, příspěvková organizace","Nádražní 5 , Vyškov 682 01"
"Základní škola a Mateřská škola Bošovice, okres Vyškov, příspěvková organizace","106 , Bošovice 683 54"
"Základní škola a Mateřská škola Dražovice, okres Vyškov, příspěvková organizace","121 , Dražovice 683 01"
"Základní škola a Mateřská škola Habrovany, příspěvková organizace","189 , Habrovany 683 01"
"Základní škola a Mateřská škola Hlubočany, okres Vyškov","105 , Hlubočany 682 01"
"Základní škola Hodějice, okres Vyškov, příspěvková organizace","230 , Hodějice 684 01"
"Základní škola Hoštice - Heroltice, okres Vyškov, příspěvková organizace","68 , Hoštice-Heroltice 682 01"
"Základní škola a Mateřská škola, Hrušky, okres Vyškov, příspěvková organizace","69 , Hrušky 683 52"
"Základní škola a Mateřská škola Kobeřice u Brna, okres Vyškov, příspěvková organizace","Beneška 181 , Kobeřice u Brna 684 01"
"Základní škola Komořany, okres Vyškov, příspěvková organizace","125 , Komořany 683 01"
"Základní škola Letonice, okres Vyškov, příspěvková organizace","Školní 320 , Letonice 683 35"
"Základní škola a Mateřská škola Milešovice, okres Vyškov, příspěvková organizace","112 , Milešovice 683 54"
"Základní škola a Mateřská škola Němčany, okres Vyškov, příspěvková organizace","37 , Němčany 684 01"
"Základní škola a mateřská škola Nesovice, příspěvková organizace","154 , Nesovice 683 33"
"Základní škola a Mateřská škola Nížkovice, okres Vyškov, příspěvková organizace","164 , Nížkovice 684 01"
"Základní škola a Mateřská škola Rašovice, okres Vyškov, příspěvková organizace","66 , Rašovice 685 01"
"Základní škola Rostěnice - Zvonovice, okres Vyškov, příspěvková organizace","98 , Rostěnice-Zvonovice 682 01"
"Základní škola a Mateřská škola Tučapy, okres Vyškov, příspěvková organizace","116 , Tučapy 683 01"
"Základní škola a Mateřská škola Velešovice, příspěvková organizace","181 , Velešovice 683 01"
"Základní škola a Mateřská škola Nemojany, okres Vyškov, příspěvková organizace","113 , Nemojany 683 03"
"Základní škola a mateřská škola Holubice, okres Vyškov, příspěvková organizace","20 , Holubice 683 51"
"Základní škola a mateřská škola Švábenice, okres Vyškov, příspěvková organizace","330 , Švábenice 683 23"
"Základní škola Vyškov, Na Vyhlídce 12, příspěvková organizace","Na Vyhlídce 456 , Vyškov 682 01"
"Základní škola a mateřská škola Brankovice, příspěvková organizace","Tasova 272 , Brankovice 683 33"
"Základní škola Bučovice 711, příspěvková organizace","Školní 711 , Bučovice 685 01"
"Základní škola Bučovice 710, příspěvková organizace","Školní 710 , Bučovice 685 01"
"Základní škola Drnovice, okres Vyškov","109 , Drnovice 683 04"
"Základní škola Ivanovice na Hané, okres Vyškov","Tyršova 218 , Ivanovice na Hané 683 23"
"Základní škola a Mateřská škola Křenovice, okres Vyškov","Školní 140 , Křenovice 683 52"
"Základní škola a Mateřská škola, Otnice, příspěvková organizace","Školní 352 , Otnice 683 54"
"Základní škola Rousínov, okres Vyškov","Habrovanská 312 , Rousínov 683 01"
"Základní škola Komenského Slavkov u Brna, příspěvková organizace","Komenského náměstí 495 , Slavkov u Brna 684 01"
"Základní škola Tyršova Slavkov u Brna, příspěvková organizace","Tyršova 977 , Slavkov u Brna 684 01"
"Základní škola Vyškov, Morávkova 40, příspěvková organizace","Morávkova 492 , Vyškov 682 01"
"Základní škola Vyškov, Tyršova 4, příspěvková organizace","Tyršova 664 , Vyškov 682 01"
"Mateřská škola a Základní škola Heršpice, okres Vyškov, příspěvková organizace","17 , Heršpice 684 01"
"Základní škola, Moravské Málkovice, okres Vyškov, příspěvková organizace","16 , Moravské Málkovice 682 01"
"Základní škola a Mateřská škola Moravské Prusy, příspěvková organizace","175 , Prusy-Boškůvky 682 01"
"Základní škola a mateřská škola Podomí","155 , Podomí 683 04"
"Základní škola a mateřská škola Bohdalice, okres Vyškov, příspěvková organizace","1 , Bohdalice-Pavlovice 683 41"
"Základní škola a Mateřská škola, Pustiměř, okres Vyškov","207 , Pustiměř 683 21"
"Základní škola a mateřská škola Šaratice, příspěvková organizace","Náves 96 , Šaratice 683 52"
"Základní škola a Mateřská škola Vyškov, Letní pole, příspěvková organizace","Sídliště Osvobození 682 , Vyškov 682 01"
"Základní škola Vyškov, Purkyňova 39, příspěvková organizace","Purkyňova 308 , Vyškov 682 01"
"Základní škola a Mateřská škola Kuchařovice, příspěvková organizace","Okružní 297 , Kuchařovice 669 02"
"Základní škola a Mateřská škola Dolní Dubňany, okres Znojmo","74 , Dolní Dubňany 671 73"
"Základní škola a mateřská škola, Hluboké Mašůvky, příspěvková organizace","157 , Hluboké Mašůvky 671 52"
"Základní škola a Mateřská škola, Horní Dunajovice, okres Znojmo, příspěvková organizace","184 , Horní Dunajovice 671 34"
"Základní škola a mateřská škola, Hostim, okres Znojmo, příspěvková organizace","90 , Hostim 671 54"
"Základní škola, Lesonice, okres Znojmo, příspěvková organizace","73 , Lesonice 672 01"
"Základní škola, Mašovice, okres Znojmo","124 , Mašovice 669 02"
"Základní škola a Mateřská škola Oleksovice, okres Znojmo, příspěvková organizace","70 , Oleksovice 671 62"
"Základní škola a Mateřská škola, Pavlice, okres Znojmo","79 , Pavlice 671 56"
"Základní škola a Mateřská škola, Skalice, okres Znojmo, příspěvková organizace","108 , Skalice 671 71"
"Základní škola, Strachotice, okres Znojmo, příspěvková organizace","71 , Strachotice 671 29"
"Základní škola a Mateřská škola, Štítary, příspěvková organizace","191 , Štítary 671 02"
"Základní škola a Mateřská škola Tavíkovice, okres Znojmo, příspěvková organizace","62 , Tavíkovice 671 40"
"Základní škola a Mateřská škola Troskotovice, příspěvková organizace","160 , Troskotovice 671 78"
"Základní škola a Mateřská škola, Únanov, příspěvková organizace, okres Znojmo","56 , Únanov 671 31"
"Mateřská škola a Základní škola Vedrovice, okres Znojmo, příspěvková organizace","325 , Vedrovice 671 75"
"Základní škola, Hostěradice, okres Znojmo","36 , Hostěradice 671 71"
"Základní škola a Mateřská škola, Hrabětice, příspěvková organizace","Kostelní 216 , Hrabětice 671 68"
"Základní škola a Mateřská škola, Hrádek, okres Znojmo, příspěvková organizace","53 , Hrádek 671 27"
"Základní škola a Mateřská škola, Dobšice, okres Znojmo, příspěvková organizace","Brněnská 52 , Dobšice 671 82"
"Základní škola a mateřská škola, Kravsko, příspěvková organizace","169 , Kravsko 671 51"
"Základní škola a Mateřská škola, Loděnice, příspěvková organizace","134 , Loděnice 671 75"
"Základní škola a Mateřská škola, Šumná, okres Znojmo, příspěvková organizace","92 , Šumná 671 02"
"Základní škola, Želetice, okres Znojmo","161 , Želetice 671 34"
"Základní škola a mateřská škola, Blížkovice, okr. Znojmo příspěvková organizace","220 , Blížkovice 671 55"
"Základní škola a mateřská škola, Božice, příspěvková organizace","393 , Božice 671 64"
"Základní škola, Dyjákovice, okres Znojmo, příspěvková organizace","234 , Dyjákovice 671 26"
"Základní škola a Mateřská škola, Hevlín, příspěvková organizace","225 , Hevlín 671 69"
"Základní škola, Hrušovany nad Jevišovkou, okres Znojmo, příspěvková organizace","Nádražní 461 , Hrušovany nad Jevišovkou 671 67"
"Základní škola a Mateřská škola, Jaroslavice, okres Znojmo, příspěvková organizace","Školní 83 , Jaroslavice 671 28"
"Základní škola a Mateřská škola, Jevišovice, příspěvková organizace","34 , Jevišovice 671 53"
"Základní škola Lubnice, okres Znojmo, příspěvková organizace","20 , Lubnice 671 07"
"Základní škola a Mateřská škola, Mikulovice u Znojma, příspěvková organizace","134 , Mikulovice 671 33"
"Základní škola, Miroslav, okres Znojmo, příspěvková organizace","Třináctky 135 , Miroslav 671 72"
"Základní škola, Moravský Krumlov, náměstí Klášterní 134, okres Znojmo, příspěvková organizace","nám. Klášterní 134 , Moravský Krumlov 672 01"
"Základní škola a Mateřská škola, Olbramovice, okres Znojmo, příspěvková organizace","125 , Olbramovice 671 76"
"Základní škola, Prosiměřice, okres Znojmo, příspěvková organizace","151 , Prosiměřice 671 61"
"Základní škola a Mateřská škola, Šanov, okres Znojmo, příspěvková organizace","Komenského 241 , Šanov 671 68"
"Základní škola, Šatov, okres Znojmo, příspěvková organizace","398 , Šatov 671 22"
"Základní škola a Mateřská škola, Tasovice, okres Znojmo, příspěvková organizace","374 , Tasovice 671 25"
"Základní škola, Vémyslice, okres Znojmo, příspěvková organizace","213 , Vémyslice 671 42"
"Základní škola, Vranov nad Dyjí, okres Znojmo, příspěvková organizace","Komenského stezka 157 , Vranov nad Dyjí 671 03"
"Základní škola, Znojmo, Václavské náměstí 8, příspěvková organizace","Václavské náměstí 133 , Znojmo 669 02"
"Základní škola a Mateřská škola, Znojmo, Pražská 98","Pražská 2808 , Znojmo 669 02"
"Základní škola, Znojmo, náměstí Republiky 9","náměstí Republiky 902 , Znojmo 669 02"
"Základní škola, Znojmo, Mládeže 3, příspěvková organizace","Mládeže 1000 , Znojmo 669 02"
"Základní škola, Moravský Krumlov, Ivančická 218, okres Znojmo, příspěvková organizace","Ivančická 218 , Moravský Krumlov 672 01"
"Základní škola a Mateřská škola, Trstěnice, okres Znojmo, příspěvková organizace","200 , Trstěnice 671 71"
"Základní škola a Mateřská škola, Bohutice, okres Znojmo, příspěvková organizace","10 , Bohutice 671 76"
"Základní škola a Mateřská škola, Rybníky, okres Znojmo, příspěvková organizace","55 , Rybníky 672 01"
"Základní škola a Mateřská škola Suchohrdly u Miroslavi, příspěvková organizace","120 , Suchohrdly u Miroslavi 671 72"
"Základní škola Prokopa Diviše a Mateřská škola, Znojmo - Přímětice 569","Ke Škole 569 , Znojmo 669 04"
"Základní škola a Mateřská škola, Jezeřany-Maršovice, okres Znojmo, příspěvková organizace","143 , Jezeřany-Maršovice 671 75"
"Základní škola, Jiřice u Miroslavi, okres Znojmo, příspěvková organizace","87 , Jiřice u Miroslavi 671 78"
"Základní škola a mateřská škola, Citonice, okres Znojmo, příspěvková organizace","100 , Citonice 671 01"
"Základní škola a Mateřská škola, Višňové, okres Znojmo, příspěvková organizace","228 , Višňové 671 38"
"Základní škola, Práče, okres Znojmo - příspěvková organizace","84 , Práče 671 61"
"Základní škola a Mateřská škola, Břežany, okres Znojmo, příspěvková organizace","174 , Břežany 671 65"
"Základní škola Nížkov","11 , Nížkov 592 12"
"Základní škola a Mateřská škola Štěpánov nad Svratkou, okres Žďár nad Sázavou, příspěvková organizace","159 , Štěpánov nad Svratkou 592 63"
"Základní škola a Mateřská škola Polnička, okres Žďár nad Sázavou","147 , Polnička 591 02"
"Základní škola Bobrová, okres Žďár nad Sázavou, příspěvková organizace","129 , Bobrová 592 55"
"Základní škola a mateřská škola Bohdalov","205 , Bohdalov 592 13"
"Základní škola Bystřice n. P., Nádražní 615","Nádražní 615 , Bystřice nad Pernštejnem 593 01"
"Základní škola T.G.Masaryka","Tyršova 409 , Bystřice nad Pernštejnem 593 01"
"Základní škola a Mateřská škola Dolní Loučky, okres Brno-venkov, příspěvková organizace","207 , Dolní Loučky 594 55"
"Základní škola a Mateřská škola Dolní Rožínka","1 , Dolní Rožínka 592 51"
"Základní škola a Mateřská škola Herálec, příspěvková organizace","440 , Herálec 592 01"
"Základní škola a Mateřská škola Jimramov, příspěvková organizace","Padělek 133 , Jimramov 592 42"
"Základní škola a mateřská škola Křižanov, příspěvková organizace","U Školy 321 , Křižanov 594 51"
"Základní škola Měřín","Náměstí 96 , Měřín 594 42"
"Základní škola a Mateřská škola Nedvědice, okres Brno-venkov, příspěvková organizace","80 , Nedvědice 592 62"
"Základní škola Nové Město na Moravě, Vratislavovo náměstí 124, okres Žďár nad Sázavou","Vratislavovo náměstí 124 , Nové Město na Moravě 592 31"
"Základní škola Nové Město na Moravě, Leandra Čecha 860, okres Žďár nad Sázavou","Leandra Čecha 860 , Nové Město na Moravě 592 31"
"Základní škola a Mateřská škola Nové Veselí, příspěvková organizace","Na Městečku 1 , Nové Veselí 592 14"
"Základní škola a mateřská škola Osová Bítýška","246 , Osová Bítýška 594 53"
"Základní škola a Mateřská škola Radostín nad Oslavou, příspěvková organizace","136 , Radostín nad Oslavou 594 44"
"Základní škola a Mateřská škola Rovečné","181 , Rovečné 592 65"
"Základní škola a mateřská škola Sněžné, příspěvková organizace","96 , Sněžné 592 03"
"Základní škola a Mateřská škola Strážek, příspěvková organizace","27 , Strážek 592 53"
"Základní škola a mateřská škola Svratka, příspěvková organizace","Partyzánská 310 , Svratka 592 02"
"Základní škola Velká Bíteš, příspěvková organizace","Sadová 579 , Velká Bíteš 595 01"
"Základní škola a Mateřská škola Velká Losenice, příspěvková organizace","248 , Velká Losenice 592 11"
"Základní škola Velké Meziříčí, Sokolovská 470/13","Sokolovská 470 , Velké Meziříčí 594 01"
"Základní škola Žďár nad Sázavou, Komenského 2","Komenského 715 , Žďár nad Sázavou 591 01"
"Základní škola Žďár nad Sázavou, Komenského 6","Komenského 825 , Žďár nad Sázavou 591 01"
